Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_XGBoost,W_DT-Simple,W_KNN,W_entropy,RMSE_XGBoost,RMSE_DT-Simple,RMSE_KNN
Concrete,0,5.257524735388593,4.945209808823345,5.313652522835277,3.0,14.0,156.15029406547546,0.40437799192974005,0.016769544497360584,0.03178872661381762,0.4097348208356387,5.313652522835277,9.451802073196385,7.465382233787806
Concrete,1,4.941986456598266,5.833457227827193,4.983596996431845,3.0,17.0,119.54066848754883,0.3491052624692035,0.0,0.025902240594533832,0.2512299318945655,4.983596996431845,9.496903825274453,7.265423506993516
Concrete,2,5.832809790869926,4.856726920275255,5.696817169398871,3.0,16.0,120.76752710342407,0.24164164327775933,0.0,0.032780415666650006,0.3658328214113167,5.696817169398871,9.746197439641655,9.300600155206542
Concrete,3,6.308899342929059,4.965278268667332,5.746994490484524,3.0,14.0,92.03905701637268,0.728172670236667,0.0,0.0752747334340856,0.31099229571921516,5.746994490484524,9.429498782831976,8.968178378106233
Concrete,4,5.76343391073867,5.4844059036364365,5.603279610929199,2.0,16.0,97.28891658782959,0.4880915414982576,0.0,0.028517750019713007,0.21355562509490192,5.603279610929199,8.656709252415167,8.85536992729481
Concrete,5,4.309628307883893,4.951938182690806,4.418289494832389,2.0,14.0,111.14526653289795,0.08794799459074079,0.0,0.0055348946576792525,0.22478153186957547,4.418289494832389,8.118029156788616,7.184547717001003
Concrete,6,4.3382896437108,5.9667063196342776,4.47283409616895,2.0,16.0,123.08829498291016,0.0021108196380330607,0.0,0.00027938758758690136,0.3606792312695989,4.47283409616895,10.025049185163011,6.030999838156502
Concrete,7,5.295812258614851,4.589775014943452,5.556793859372295,2.0,13.0,110.18813037872314,0.9924297539635435,0.0,0.22496210823833293,0.4785799223144507,5.556793859372295,9.522592531589506,7.578858897830653
Concrete,8,4.547172779333191,5.181248338551203,4.356218737058817,3.0,15.0,92.27620911598206,0.3919998888844364,0.0,0.0640999830591628,0.405941368962914,4.356218737058817,7.84940312977852,7.459625849066061
Concrete,9,4.493362648874159,4.945517703072715,4.649949953027122,3.0,15.0,252.8223557472229,0.6638031297700324,0.02260698773954184,0.04442664565049234,0.36513130052032516,4.649949953027122,8.6765649328182,7.231814095663674
MEDIA,-,5.1088919874941405,5.172026368812201,5.079842693053929,2.6,15.0,127.53067200183868,0.4349680696258414,0.003937653223690242,0.05335668855220542,0.33864588498925025,5.079842693053929,9.09727503094975,7.73408005991068
