Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_Ridge,W_DT-Simple,W_KNN,W_entropy,RMSE_Ridge,RMSE_DT-Simple,RMSE_KNN
Elevators,0,0.0024239759176795123,0.002565161347951922,0.0026944807515549367,2.0,24.0,206.29082775115967,0.09350034520268671,0.0,0.08611731418122492,0.6923021669875808,0.0026944807515549367,0.003898455198206742,0.00355647805195779
Elevators,1,0.002842390858111121,0.0027814754014567618,0.002926858354757127,3.0,28.0,194.82738304138184,0.31932793049400376,0.07423865905147795,0.08766292558119347,0.8706811311834125,0.002926858354757127,0.0040751317984210386,0.0036573696705428597
Elevators,2,0.002552317358783744,0.0025775977315444527,0.002893105078892143,3.0,23.0,281.6169719696045,0.18456172509922097,0.0,0.1269514439673784,0.6759475132998913,0.002893105078892143,0.003987871160577803,0.00367238233432282
Elevators,3,0.002673252189889084,0.002625470547075426,0.0030145087753929204,2.0,25.0,211.1902196407318,0.2077236584145496,0.0,0.14949389643959654,0.6798017007054233,0.0030145087753929204,0.004023382935350039,0.003615012428235928
Elevators,4,0.0029988433381420406,0.002964263565674079,0.0029991175593975994,2.0,30.0,136.92414569854736,0.9474671757879689,0.0,0.0,2.8631110016457123e-11,0.0029991175593975994,0.004257987204019523,0.0038169118035390605
Elevators,5,0.002543357462389918,0.0025349555258535592,0.002821389945897937,2.0,26.0,116.78493642807007,0.913142648824479,0.0,0.6187051066158036,0.6745592432389149,0.002821389945897937,0.004086776649556775,0.0036463488050408276
Elevators,6,0.0029226879807584135,0.002809833301045929,0.0029750033623760106,3.0,29.0,151.38822484016418,0.32015933293153986,0.06968380340717191,0.0,0.46949017921184943,0.0029750033623760106,0.004188708726720063,0.0036520960913908797
Elevators,7,0.0027575247153031617,0.0025582628647484126,0.0030990236033422848,2.0,27.0,133.84632515907288,0.8506893390223575,0.0,0.6409477197320981,0.6832285188749623,0.0030990236033422848,0.004047920351210275,0.0037877806186014497
Elevators,8,0.0024221803670268346,0.0025104298881475982,0.0028815968896686362,3.0,25.0,166.1772813796997,0.9143032521022817,0.0,0.7940976610830384,0.6906697661735444,0.0028815968896686362,0.00392913149531547,0.003381563267442093
Elevators,9,0.0025853978792132522,0.002471863290575913,0.0027310902753219578,2.0,23.0,214.60465002059937,0.18308231322934027,0.0,0.17321178082421004,0.6927633942493057,0.0027310902753219578,0.003862298725689605,0.003479884077799537
MEDIA,-,0.0026721928067297085,0.0026399313464074052,0.0029036174596601553,2.4,26.0,181.36509659290314,0.49339577211084273,0.014392246245864987,0.2677187848424543,0.6129443613953515,0.0029036174596601553,0.004035766424506733,0.003626582714887325
