Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_LightGBM,W_DT-Simple,W_Ridge,W_entropy,RMSE_LightGBM,RMSE_DT-Simple,RMSE_Ridge
US_Crime,0,0.12448323213719625,0.1345535971118465,0.12295204260734911,2.0,188.0,288.1705276966095,0.8155004569682652,0.0,0.9210350264530158,0.6912993599187376,0.12295204260734911,0.136896841156308,0.12773031494702827
US_Crime,1,0.1407770396070541,0.11573842200757588,0.1374687798566024,3.0,189.0,121.13993167877197,0.0,0.8065718300274772,0.69703562716553,0.6904913448883689,0.1374687798566024,0.14700193712000273,0.1381880035102238
US_Crime,2,0.12382031630333395,0.13299705232670397,0.12068484741420317,3.0,192.0,339.71145391464233,0.25135065363841463,2.9655526220091524e-08,0.28475773648537184,0.6912053433873996,0.12068484741420317,0.13693576215627382,0.12408088250561537
US_Crime,3,0.13162191180010804,0.1262847835013175,0.12592956432074967,2.0,187.0,260.0092568397522,0.4359352570417332,0.0,0.8442333912544978,0.641386102373025,0.12592956432074967,0.15260855083518055,0.13430716194996092
US_Crime,4,0.16001860074977647,0.13202691572497124,0.1597556273772723,2.0,203.0,193.59871125221252,0.491631107817076,0.0,0.9017725919497743,0.6491794074985869,0.1605703165486061,0.18153628418115997,0.1597556273772723
US_Crime,5,0.14889770350487963,0.11829296620072605,0.15236701114399556,2.0,195.0,228.50655364990234,0.5887714242887772,0.0,0.9335027833856939,0.6672817519547278,0.15318754688945407,0.17103700899680885,0.15236701114399556
US_Crime,6,0.11658317978235495,0.13072555141101624,0.11599095438726265,2.0,188.0,234.964426279068,0.8165415491868732,0.0,0.43542705506994245,0.6460702755622632,0.11599095438726265,0.12703725818636347,0.11697276412635105
US_Crime,7,0.13107117252068454,0.12380269009057412,0.12916435002197402,2.0,205.0,226.84885096549988,0.27342980676247897,0.0,0.49629537747715075,0.6506244896004254,0.12916435002197402,0.14677584753579412,0.13061867969612365
US_Crime,8,0.1439150571322858,0.11713899596331641,0.14082933324919672,2.0,198.0,256.45586133003235,0.8906587383740403,0.0,0.8825263641372363,0.6931366634093954,0.14082933324919672,0.1586089980987725,0.14191506666256767
US_Crime,9,0.1384455677637626,0.1210866451763154,0.13866022721926347,2.0,191.0,233.23794722557068,0.6304088972743799,0.0,0.7329527751197189,0.6903159350530634,0.13931670072766714,0.15735426390620963,0.13866022721926347
MEDIA,-,0.13596337813014364,0.12526476195143635,0.13460944360230653,2.2,193.6,238.26435208320618,0.5194227891352039,0.08065718596830035,0.7129538728497933,0.6710990673645993,0.13460944360230653,0.15157927521728737,0.1364595739138402
