Dataset,N_samples,N_features,CV_Strategy,Mejor_Individual_OOF,RMSE_Individual_OOF,Dream_Team,Oracle_RMSE_OOF,Mejora_Teorica_OOF_%,Oracle_RMSE_Test,Mejora_Real_Test_%,Diversidad_Avg_Corr,CV_Std_Promedio
abalone,4177,7,5-Fold,LightGBM,2.155533480898377,LightGBM + DT-Simple + Ridge,1.7802326233063281,17.41104283082775,1.8142231240012991,18.361074004116062,0.8941958424721784,0.08661283843707715
boston,506,13,5-Fold,XGBoost,4.605462100544911,XGBoost + KNN + ElasticNet,3.3128678503346545,28.066548415572,3.235512219105187,24.522685489528094,0.7313999294780617,0.8370169054517309
concrete,1030,8,5-Fold,XGBoost,5.495870083335261,XGBoost + DT-Simple + KNN,4.004293709830271,27.139949651062388,4.144255308718011,24.094238034869974,0.5582790633835084,0.4997050354898478
elevators,16599,18,5-Fold,Ridge,0.0029296160243190705,Ridge + DT-Simple + KNN,0.0021703652880190843,25.9163907487316,0.0021029704876134522,25.196490005848716,0.6780830897433984,4.3121703125567124e-05
us_crime,1994,126,5-Fold,LightGBM,0.13733323667266292,LightGBM + DT-Simple + Ridge,0.1083102991053555,21.133221840889316,0.10525021899650545,20.195696052862044,0.866286165999376,0.008328897290012382
