Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,RMSE_LightGBM,RMSE_DT-Simple,RMSE_Ridge
US_Crime,0,0.1246405057502761,0.13303309876757363,0.12295204260734911,2.0,165.0,206.76776218414307,0.12295204260734911,0.136896841156308,0.12773031494702827
US_Crime,1,0.136788978733438,0.11779199986017265,0.1374687798566024,2.0,202.0,181.1878216266632,0.1374687798566024,0.14700193712000273,0.1381880035102238
US_Crime,2,0.12248375202160901,0.13356054435384784,0.12068484741420317,2.0,189.0,225.0760886669159,0.12068484741420317,0.13693576215627382,0.12408088250561537
US_Crime,3,0.1309580656214816,0.1253006921439342,0.12592956432074967,2.0,192.0,230.64558362960815,0.12592956432074967,0.15260855083518055,0.13430716194996092
US_Crime,4,0.1600594206812783,0.13146118730841413,0.1597556273772723,2.0,190.0,264.88643074035645,0.1605703165486061,0.18153628418115997,0.1597556273772723
US_Crime,5,0.1546932650803169,0.11643234139162424,0.15236701114399556,2.0,176.0,221.2314453125,0.15318754688945407,0.17103700899680885,0.15236701114399556
US_Crime,6,0.119574949842825,0.1295581531059874,0.11599095438726265,3.0,200.0,209.78535556793213,0.11599095438726265,0.12703725818636347,0.11697276412635105
US_Crime,7,0.1322344726393821,0.12287576243267037,0.12916435002197402,2.0,200.0,112.10842251777649,0.12916435002197402,0.14677584753579412,0.13061867969612365
US_Crime,8,0.14227355628040592,0.11705082086318276,0.14082933324919672,2.0,199.0,129.53017473220825,0.14082933324919672,0.1586089980987725,0.14191506666256767
US_Crime,9,0.1359634403572599,0.12002529467857126,0.13866022721926347,2.0,183.0,113.13504099845886,0.13931670072766714,0.15735426390620963,0.13866022721926347
MEDIA,-,0.13596704070082727,0.12470898949059786,0.13460944360230653,2.1,189.6,189.43541259765624,0.13460944360230653,0.15157927521728737,0.1364595739138402
