Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_LightGBM,W_DT-Simple,W_Ridge,W_entropy,RMSE_LightGBM,RMSE_DT-Simple,RMSE_Ridge
US_Crime,0,0.12640769545893557,0.13316049116013873,0.12295204260734911,2.0,180.0,184.91360354423523,0.3495614464742952,0.31395387578944484,0.33648467773626,0.6929655074870875,0.12295204260734911,0.136896841156308,0.12773031494702827
US_Crime,1,0.1418142533368488,0.11618436250404009,0.1374687798566024,2.0,209.0,82.45948266983032,0.3413033618812909,0.3191696493270672,0.33952698879164184,0.6926695299849726,0.1374687798566024,0.14700193712000273,0.1381880035102238
US_Crime,2,0.12540283015911513,0.13317224443084344,0.12068484741420317,3.0,183.0,240.66383743286133,0.3503909472781505,0.3088081400056864,0.34080091271616303,1.097174869076978,0.12068484741420317,0.13693576215627382,0.12408088250561537
US_Crime,3,0.12971129557893288,0.12545199377390287,0.12592956432074967,2.0,200.0,201.4787564277649,0.36195113733845036,0.2986749352333864,0.33937392742816325,0.6926289215484536,0.12592956432074967,0.15260855083518055,0.13430716194996092
US_Crime,4,0.16056010952153166,0.13219442346726037,0.1597556273772723,2.0,205.0,192.28426909446716,0.34606773649570655,0.3060997213368044,0.34783254216748893,0.6931439463356854,0.1605703165486061,0.18153628418115997,0.1597556273772723
US_Crime,5,0.15197028214077823,0.11725145112483379,0.15236701114399556,2.0,188.0,167.65741443634033,0.34470574751189675,0.3087321754125481,0.3465620770755552,0.6931435748731203,0.15318754688945407,0.17103700899680885,0.15236701114399556
US_Crime,6,0.11685344604852742,0.12913719536613208,0.11599095438726265,3.0,198.0,297.4757535457611,0.34427517300754357,0.3143393242429489,0.34138550274950746,1.0977864133006767,0.11599095438726265,0.12703725818636347,0.11697276412635105
US_Crime,7,0.13230180654259813,0.1231805137867435,0.12916435002197402,2.0,191.0,208.12982439994812,0.34856847517675116,0.30674406787232794,0.34468745695092096,0.6931315102910665,0.12916435002197402,0.14677584753579412,0.13061867969612365
US_Crime,8,0.14504349488291066,0.11703220961436901,0.14082933324919672,2.0,195.0,204.61447095870972,0.34719184772670747,0.3082725256126511,0.3445356266606415,0.6931398078108599,0.14082933324919672,0.1586089980987725,0.14191506666256767
US_Crime,9,0.13727293648156047,0.12033796794678508,0.13866022721926347,2.0,189.0,203.468195438385,0.3460082947883771,0.306345267434388,0.347646437777235,0.6931443919529304,0.13931670072766714,0.15735426390620963,0.13866022721926347
MEDIA,-,0.13673381501517393,0.12471028531750487,0.13460944360230653,2.2,193.8,198.31456079483033,0.348002416767917,0.3091139682267253,0.34288361500535774,0.7738928472661831,0.13460944360230653,0.15157927521728737,0.1364595739138402
