Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_Ridge,W_DT-Simple,W_KNN,W_entropy,RMSE_Ridge,RMSE_DT-Simple,RMSE_KNN
Elevators,0,0.0029063519171176745,0.002978756233438013,0.0026944807515549367,2.0,34.0,48.70721673965454,0.4083645420455142,0.2822478019696114,0.30938765598487444,0.67637897565629,0.0026944807515549367,0.003898455198206742,0.00355647805195779
Elevators,1,0.0026531999219334113,0.002559866393361612,0.002926858354757127,2.0,31.0,116.00667405128479,0.39706372465612616,0.2851807864274107,0.31775548891646305,0.6869796879077453,0.002926858354757127,0.0040751317984210386,0.0036573696705428597
Elevators,2,0.0025686066241741843,0.0025739241016986504,0.002893105078892143,2.0,22.0,128.3980360031128,0.39788695008237823,0.28865746175821655,0.3134555881594053,0.6860865361570028,0.002893105078892143,0.003987871160577803,0.00367238233432282
Elevators,3,0.0026647871287867023,0.0026239847005034797,0.0030145087753929204,2.0,30.0,134.65744495391846,0.38712672800329745,0.29005365564609514,0.3228196163506073,0.6890391620822187,0.0030145087753929204,0.004023382935350039,0.003615012428235928
Elevators,4,0.0027040792875724085,0.0026817267827983307,0.0029991175593975994,2.0,26.0,113.7942247390747,0.40159101640818406,0.2828610381313842,0.31554794546043163,0.685932087550855,0.0029991175593975994,0.004257987204019523,0.0038169118035390605
Elevators,5,0.002541099102883563,0.0025316516759993487,0.002821389945897937,2.0,24.0,168.7353880405426,0.405823066103822,0.280168266892798,0.31400866700337987,0.6849905024746077,0.002821389945897937,0.004086776649556775,0.0036463488050408276
Elevators,6,0.002630563331002913,0.0025831948491223788,0.0029750033623760106,2.0,31.0,123.15450167655945,0.39606388929807107,0.28130182610628557,0.3226342845956434,0.6879186771444357,0.0029750033623760106,0.004188708726720063,0.0036520960913908797
Elevators,7,0.0027560304631931423,0.0025576822417551774,0.0030990236033422848,2.0,30.0,114.38359522819519,0.3870347115597746,0.2963076373650999,0.3166576510751254,0.6881376980415765,0.0030990236033422848,0.004047920351210275,0.0037877806186014497
Elevators,8,0.002439401275316841,0.002516402160879127,0.0028815968896686362,2.0,27.0,139.07097601890564,0.3867660744283824,0.2836514707493016,0.3295824548223161,0.6899576503847247,0.0028815968896686362,0.00392913149531547,0.003381563267442093
Elevators,9,0.002533628809942952,0.0024721402078007456,0.0027310902753219578,2.0,27.0,109.64289045333862,0.4012941818921116,0.2837612332190692,0.31494458488881916,0.6858621409337521,0.0027310902753219578,0.003862298725689605,0.003479884077799537
MEDIA,-,0.002639774786192379,0.0026079329347356863,0.0029036174596601553,2.0,28.2,119.65509479045868,0.3969014884477662,0.2854191178265272,0.3176793937257066,0.6861283118333208,0.0029036174596601553,0.004035766424506733,0.003626582714887325
