Dataset,Fold,RMSE_EA_Test,RMSE_EA_Val,RMSE_Best_Base,N_Modelos,N_Features,Time_s,W_XGBoost,W_DT-Simple,W_KNN,W_entropy,RMSE_XGBoost,RMSE_DT-Simple,RMSE_KNN
Concrete,0,5.47133280834086,5.154094388750019,5.313652522835277,2.0,17.0,46.144582986831665,0.4397621698941623,0.24722728485306195,0.3130105452527757,0.6789035668132032,5.313652522835277,9.451802073196385,7.465382233787806
Concrete,1,5.228444231082413,6.011274134811606,4.983596996431845,2.0,15.0,49.04512143135071,0.45234671403068144,0.23737354477689132,0.31027974119242724,0.6756940847426467,4.983596996431845,9.496903825274453,7.265423506993516
Concrete,2,6.495420424804711,5.221338999322007,5.696817169398871,2.0,16.0,46.15606164932251,0.45515818769241595,0.26604765545903786,0.2787941568485462,0.6639922219111043,5.696817169398871,9.746197439641655,9.300600155206542
Concrete,3,6.847778374745564,5.370945198174479,5.746994490484524,3.0,16.0,61.78622817993164,0.44438707112107323,0.2708404877301127,0.284772441148814,1.0718956129161266,5.746994490484524,9.429498782831976,8.968178378106233
Concrete,4,6.241483317824735,5.867965918895384,5.603279610929199,2.0,17.0,51.322872161865234,0.43859053937443965,0.28388910325861627,0.2775203573669441,0.6676341653108468,5.603279610929199,8.656709252415167,8.85536992729481
Concrete,5,4.832381195382773,5.235311011155682,4.418289494832389,2.0,15.0,116.87963819503784,0.46312858281460734,0.2520607049700425,0.28481071221535015,0.6644514358731929,4.418289494832389,8.118029156788616,7.184547717001003
Concrete,6,4.566527289024312,6.231339078293935,4.47283409616895,2.0,14.0,63.45330810546875,0.45707884302443685,0.20393294795682618,0.338988209018737,0.6821037082051902,4.47283409616895,10.025049185163011,6.030999838156502
Concrete,7,5.482139403729509,4.696264633672383,5.556793859372295,2.0,15.0,62.144999980926514,0.4316420264312607,0.25187949121853853,0.3164784823502007,0.6812516129115382,5.556793859372295,9.522592531589506,7.578858897830653
Concrete,8,4.607388057062754,5.343840678421362,4.356218737058817,2.0,13.0,111.52222609519958,0.46751969135105714,0.2594615164689218,0.27301879218002106,0.6582472826768859,4.356218737058817,7.84940312977852,7.459625849066061
Concrete,9,4.6938989578699495,5.352758989828605,4.649949953027122,2.0,13.0,73.02758240699768,0.45894593669886513,0.24595858537798262,0.29509547792315227,0.6693489321258108,4.649949953027122,8.6765649328182,7.231814095663674
MEDIA,-,5.4466794059867585,5.448513303132547,5.079842693053929,2.1,15.1,68.14826211929321,0.45085597624330004,0.25186713220700313,0.29727689154969683,0.7113522623486545,5.079842693053929,9.09727503094975,7.73408005991068
